OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
16,                   134.625619038, 160,                  625000,               50                   
16,                   133.448844416, 160,                  625000,               50                   
16,                   130.715745692, 160,                  625000,               50                   
16,                   130.864028865, 160,                  625000,               50                   
16,                   129.822441456, 160,                  625000,               50                   
16,                   66.865352423, 320,                  312500,               50                   
16,                   67.130549567, 320,                  312500,               50                   
16,                   64.869241382, 320,                  312500,               50                   
16,                   64.966086964, 320,                  312500,               50                   
16,                   64.426404944, 320,                  312500,               50                   
16,                   33.615670341, 640,                  156250,               50                   
16,                   33.945451606, 640,                  156250,               50                   
16,                   33.874308736, 640,                  156250,               50                   
16,                   34.272544639, 640,                  156250,               50                   
16,                   33.471770872, 640,                  156250,               50                   
16,                   21.474717983, 1000,                 100000,               50                   
16,                   21.697151147, 1000,                 100000,               50                   
16,                   21.889074245, 1000,                 100000,               50                   
16,                   22.018687901, 1000,                 100000,               50                   
16,                   21.488973234, 1000,                 100000,               50                   
16,                   17.813909585, 1250,                 80000,                50                   
16,                   16.838143804, 1250,                 80000,                50                   
16,                   17.457377054, 1250,                 80000,                50                   
16,                   17.01180397, 1250,                 80000,                50                   
16,                   17.581004068, 1250,                 80000,                50                   
16,                   16.777683611, 1280,                 78125,                50                   
16,                   17.211108687, 1280,                 78125,                50                   
16,                   17.284733173, 1280,                 78125,                50                   
16,                   17.07217742, 1280,                 78125,                50                   
16,                   17.130625001, 1280,                 78125,                50                   
16,                   13.326836107, 1600,                 62500,                50                   
16,                   14.028654512, 1600,                 62500,                50                   
16,                   13.887497349, 1600,                 62500,                50                   
16,                   13.364247472, 1600,                 62500,                50                   
16,                   14.154109026, 1600,                 62500,                50                   
16,                   11.329521109, 2000,                 50000,                50                   
16,                   11.294766062, 2000,                 50000,                50                   
16,                   10.931815407, 2000,                 50000,                50                   
16,                   11.352358735, 2000,                 50000,                50                   
16,                   11.334308877, 2000,                 50000,                50                   
16,                   9.195038752, 2500,                 40000,                50                   
16,                   8.947622685, 2500,                 40000,                50                   
16,                   8.959712053, 2500,                 40000,                50                   
16,                   8.95179735, 2500,                 40000,                50                   
16,                   9.072323928, 2500,                 40000,                50                   
16,                   7.7051925, 3125,                 32000,                50                   
16,                   7.211607497, 3125,                 32000,                50                   
16,                   7.596768924, 3125,                 32000,                50                   
16,                   7.282925848, 3125,                 32000,                50                   
16,                   7.683695125, 3125,                 32000,                50                   
16,                   7.402108638, 3200,                 31250,                50                   
16,                   7.360854491, 3200,                 31250,                50                   
16,                   7.474550969, 3200,                 31250,                50                   
16,                   7.418707117, 3200,                 31250,                50                   
16,                   7.283329421, 3200,                 31250,                50                   
16,                   6.023022063, 4000,                 25000,                50                   
16,                   6.378717163, 4000,                 25000,                50                   
16,                   5.958699607, 4000,                 25000,                50                   
16,                   6.063114572, 4000,                 25000,                50                   
16,                   6.046364253, 4000,                 25000,                50                   
16,                   5.260507683, 5000,                 20000,                50                   
16,                   4.880289703, 5000,                 20000,                50                   
16,                   4.912329958, 5000,                 20000,                50                   
16,                   5.305017307, 5000,                 20000,                50                   
16,                   5.089934469, 5000,                 20000,                50                   
16,                   4.69476916, 6250,                 16000,                50                   
16,                   4.383632232, 6250,                 16000,                50                   
16,                   4.125923372, 6250,                 16000,                50                   
16,                   4.571683668, 6250,                 16000,                50                   
16,                   4.236742731, 6250,                 16000,                50                   
16,                   4.676826979, 6400,                 15625,                50                   
16,                   4.132778193, 6400,                 15625,                50                   
16,                   4.453307469, 6400,                 15625,                50                   
16,                   4.469391604, 6400,                 15625,                50                   
16,                   4.461690654, 6400,                 15625,                50                   
16,                   3.733552574, 8000,                 12500,                50                   
16,                   3.866503465, 8000,                 12500,                50                   
16,                   4.140865502, 8000,                 12500,                50                   
16,                   3.809781196, 8000,                 12500,                50                   
16,                   3.675345786, 8000,                 12500,                50                   
16,                   3.467648073, 10000,                10000,                50                   
16,                   3.32619482, 10000,                10000,                50                   
16,                   3.604286041, 10000,                10000,                50                   
16,                   3.742256747, 10000,                10000,                50                   
16,                   3.32057975, 10000,                10000,                50                   
16,                   3.30585063, 12500,                8000,                 50                   
16,                   3.444564895, 12500,                8000,                 50                   
16,                   3.512779789, 12500,                8000,                 50                   
16,                   3.42575635, 12500,                8000,                 50                   
16,                   3.38925186, 12500,                8000,                 50                   
16,                   3.208019033, 15625,                6400,                 50                   
16,                   2.406026515, 15625,                6400,                 50                   
16,                   3.206435322, 15625,                6400,                 50                   
16,                   3.343820563, 15625,                6400,                 50                   
16,                   3.202489815, 15625,                6400,                 50                   
16,                   3.292108946, 16000,                6250,                 50                   
16,                   3.194083546, 16000,                6250,                 50                   
16,                   3.295823267, 16000,                6250,                 50                   
16,                   3.290820291, 16000,                6250,                 50                   
16,                   3.186497549, 16000,                6250,                 50                   
16,                   2.155784566, 20000,                5000,                 50                   
16,                   2.20905972, 20000,                5000,                 50                   
16,                   2.988656122, 20000,                5000,                 50                   
16,                   2.703944024, 20000,                5000,                 50                   
16,                   2.187739398, 20000,                5000,                 50                   
16,                   2.387844589, 25000,                4000,                 50                   
16,                   2.214287407, 25000,                4000,                 50                   
16,                   2.228019767, 25000,                4000,                 50                   
16,                   2.246012936, 25000,                4000,                 50                   
16,                   2.129822076, 25000,                4000,                 50                   
16,                   2.250676281, 31250,                3200,                 50                   
16,                   2.272491415, 31250,                3200,                 50                   
16,                   2.257957786, 31250,                3200,                 50                   
16,                   2.289211795, 31250,                3200,                 50                   
16,                   2.234419982, 31250,                3200,                 50                   
16,                   2.229400945, 32000,                3125,                 50                   
16,                   2.243644367, 32000,                3125,                 50                   
16,                   2.261635727, 32000,                3125,                 50                   
16,                   2.220850641, 32000,                3125,                 50                   
16,                   2.24679612, 32000,                3125,                 50                   
16,                   2.32604968, 40000,                2500,                 50                   
16,                   2.314233348, 40000,                2500,                 50                   
16,                   2.314103863, 40000,                2500,                 50                   
16,                   2.319300252, 40000,                2500,                 50                   
16,                   2.353563276, 40000,                2500,                 50                   
16,                   2.363982066, 50000,                2000,                 50                   
16,                   2.358882469, 50000,                2000,                 50                   
16,                   2.319728916, 50000,                2000,                 50                   
16,                   2.339977371, 50000,                2000,                 50                   
16,                   2.320784365, 50000,                2000,                 50                   
16,                   2.436361055, 62500,                1600,                 50                   
16,                   2.414937575, 62500,                1600,                 50                   
16,                   2.455918567, 62500,                1600,                 50                   
16,                   2.44455948, 62500,                1600,                 50                   
16,                   2.418691582, 62500,                1600,                 50                   
