OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
16,                   130.328189691, 160,                  625000,               50                   
16,                   130.378969205, 160,                  625000,               50                   
16,                   65.772973628, 320,                  312500,               50                   
16,                   65.749044884, 320,                  312500,               50                   
16,                   33.146922629, 640,                  156250,               50                   
16,                   33.276654043, 640,                  156250,               50                   
16,                   21.497182296, 1000,                 100000,               50                   
16,                   22.030056447, 1000,                 100000,               50                   
16,                   17.777265881, 1250,                 80000,                50                   
16,                   16.961014412, 1250,                 80000,                50                   
16,                   16.800770567, 1280,                 78125,                50                   
16,                   16.544790153, 1280,                 78125,                50                   
16,                   13.643594462, 1600,                 62500,                50                   
16,                   13.50782669, 1600,                 62500,                50                   
16,                   11.412241865, 2000,                 50000,                50                   
16,                   11.391423448, 2000,                 50000,                50                   
16,                   8.90788678, 2500,                 40000,                50                   
16,                   8.940004056, 2500,                 40000,                50                   
16,                   7.208080947, 3125,                 32000,                50                   
16,                   7.421026838, 3125,                 32000,                50                   
16,                   6.991511141, 3200,                 31250,                50                   
16,                   7.488569502, 3200,                 31250,                50                   
16,                   6.184406471, 4000,                 25000,                50                   
16,                   6.210764124, 4000,                 25000,                50                   
16,                   5.085533153, 5000,                 20000,                50                   
16,                   5.247816756, 5000,                 20000,                50                   
16,                   4.476366967, 6250,                 16000,                50                   
16,                   4.299475949, 6250,                 16000,                50                   
16,                   4.359125716, 6400,                 15625,                50                   
16,                   4.390303515, 6400,                 15625,                50                   
16,                   4.14743086, 8000,                 12500,                50                   
16,                   3.774915535, 8000,                 12500,                50                   
16,                   3.569888707, 10000,                10000,                50                   
16,                   3.445212226, 10000,                10000,                50                   
16,                   3.404840651, 12500,                8000,                 50                   
16,                   3.286323557, 12500,                8000,                 50                   
16,                   2.357676017, 15625,                6400,                 50                   
16,                   3.210112784, 15625,                6400,                 50                   
16,                   3.26047438, 16000,                6250,                 50                   
16,                   3.219324945, 16000,                6250,                 50                   
16,                   3.199380444, 20000,                5000,                 50                   
16,                   2.211897472, 20000,                5000,                 50                   
16,                   2.223350842, 25000,                4000,                 50                   
16,                   2.319316536, 25000,                4000,                 50                   
16,                   2.230451401, 31250,                3200,                 50                   
16,                   2.239145832, 31250,                3200,                 50                   
16,                   2.233793929, 32000,                3125,                 50                   
16,                   2.319245266, 32000,                3125,                 50                   
16,                   2.366880643, 40000,                2500,                 50                   
16,                   2.295084811, 40000,                2500,                 50                   
16,                   2.338889889, 50000,                2000,                 50                   
16,                   2.316264014, 50000,                2000,                 50                   
16,                   2.485791229, 62500,                1600,                 50                   
16,                   2.447899129, 62500,                1600,                 50                   
16,                   2.516150289, 78125,                1280,                 50                   
16,                   2.564610442, 78125,                1280,                 50                   
16,                   2.603379565, 80000,                1250,                 50                   
16,                   2.606146234, 80000,                1250,                 50                   
16,                   2.699657653, 100000,               1000,                 50                   
16,                   2.621468811, 100000,               1000,                 50                   
16,                   2.783099106, 125000,               800,                  50                   
16,                   2.818579602, 125000,               800,                  50                   
16,                   2.961856647, 156250,               640,                  50                   
16,                   2.857719197, 156250,               640,                  50                   
16,                   2.942616403, 160000,               625,                  50                   
16,                   2.968359554, 160000,               625,                  50                   
16,                   2.939046779, 200000,               500,                  50                   
16,                   3.058832417, 200000,               500,                  50                   
16,                   3.084665877, 250000,               400,                  50                   
16,                   3.108226606, 250000,               400,                  50                   
16,                   3.153663644, 312500,               320,                  50                   
16,                   3.136635484, 312500,               320,                  50                   
16,                   2.988604796, 390625,               256,                  50                   
16,                   3.069109915, 390625,               256,                  50                   
16,                   3.097411281, 400000,               250,                  50                   
16,                   3.117543296, 400000,               250,                  50                   
16,                   3.078603028, 500000,               200,                  50                   
16,                   3.16607757, 500000,               200,                  50                   
16,                   3.061523651, 625000,               160,                  50                   
16,                   3.217532184, 625000,               160,                  50                   
16,                   3.12372805, 781250,               128,                  50                   
16,                   3.326460696, 781250,               128,                  50                   
16,                   2.954829376, 800000,               125,                  50                   
16,                   3.167272248, 800000,               125,                  50                   
16,                   3.329714764, 1000000,              100,                  50                   
16,                   3.232112273, 1000000,              100,                  50                   
16,                   2.990473081, 1250000,              80,                   50                   
16,                   3.081021798, 1250000,              80,                   50                   
16,                   2.966721732, 1562500,              64,                   50                   
16,                   3.189172708, 1562500,              64,                   50                   
16,                   2.883029297, 2000000,              50,                   50                   
16,                   3.210865476, 2000000,              50,                   50                   
16,                   2.970175779, 2500000,              40,                   50                   
16,                   2.910458542, 2500000,              40,                   50                   
16,                   3.139865191, 3125000,              32,                   50                   
16,                   2.800064174, 3125000,              32,                   50                   
16,                   3.071766503, 6250000,              16,                   50                   
16,                   3.122612289, 6250000,              16,                   50                   
16,                   3.180855047, 12500000,             8,                    50                   
16,                   3.493496169, 12500000,             8,                    50                   
16,                   3.520656925, 25000000,             4,                    50                   
16,                   3.909127397, 25000000,             4,                    50                   
16,                   4.664344071, 50000000,             2,                    50                   
16,                   4.598088092, 50000000,             2,                    50                   
16,                   7.697019092, 100000000,            1,                    50                   
16,                   7.72498649, 100000000,            1,                    50                   
