OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
16,                   160.100037795, 160,                  625000,               50                   
16,                   157.336928954, 160,                  625000,               50                   
16,                   81.602348675, 320,                  312500,               50                   
16,                   79.158186643, 320,                  312500,               50                   
16,                   41.080561231, 640,                  156250,               50                   
16,                   41.31517893, 640,                  156250,               50                   
16,                   26.430347817, 1000,                 100000,               50                   
16,                   26.980500935, 1000,                 100000,               50                   
16,                   22.507017071, 1250,                 80000,                50                   
16,                   21.078944251, 1250,                 80000,                50                   
16,                   21.423392157, 1280,                 78125,                50                   
16,                   21.267703946, 1280,                 78125,                50                   
16,                   16.714222619, 1600,                 62500,                50                   
16,                   17.085824557, 1600,                 62500,                50                   
16,                   14.088907838, 2000,                 50000,                50                   
16,                   14.12054685, 2000,                 50000,                50                   
16,                   11.27701714, 2500,                 40000,                50                   
16,                   11.265194723, 2500,                 40000,                50                   
16,                   9.388146748, 3125,                 32000,                50                   
16,                   9.654957974, 3125,                 32000,                50                   
16,                   9.577787822, 3200,                 31250,                50                   
16,                   9.341419059, 3200,                 31250,                50                   
16,                   7.761026142, 4000,                 25000,                50                   
16,                   7.696229219, 4000,                 25000,                50                   
16,                   6.76463018, 5000,                 20000,                50                   
16,                   6.946891812, 5000,                 20000,                50                   
16,                   5.761705547, 6250,                 16000,                50                   
16,                   5.889877743, 6250,                 16000,                50                   
16,                   5.830475642, 6400,                 15625,                50                   
16,                   5.892700045, 6400,                 15625,                50                   
16,                   5.383008968, 8000,                 12500,                50                   
16,                   5.147245702, 8000,                 12500,                50                   
16,                   4.732579928, 10000,                10000,                50                   
16,                   4.685991308, 10000,                10000,                50                   
16,                   4.452203874, 12500,                8000,                 50                   
16,                   4.745827755, 12500,                8000,                 50                   
16,                   4.404282024, 15625,                6400,                 50                   
16,                   4.421638725, 15625,                6400,                 50                   
16,                   4.401343977, 16000,                6250,                 50                   
16,                   4.412727105, 16000,                6250,                 50                   
16,                   4.222067659, 20000,                5000,                 50                   
16,                   4.333204462, 20000,                5000,                 50                   
16,                   4.095952685, 25000,                4000,                 50                   
16,                   3.623991066, 25000,                4000,                 50                   
16,                   3.687601704, 31250,                3200,                 50                   
16,                   3.870527653, 31250,                3200,                 50                   
16,                   3.388896482, 32000,                3125,                 50                   
16,                   3.321082949, 32000,                3125,                 50                   
16,                   3.653261424, 40000,                2500,                 50                   
16,                   3.217556082, 40000,                2500,                 50                   
16,                   3.369954171, 50000,                2000,                 50                   
16,                   3.309036413, 50000,                2000,                 50                   
16,                   3.262792349, 62500,                1600,                 50                   
16,                   3.33815382, 62500,                1600,                 50                   
16,                   3.393178974, 78125,                1280,                 50                   
16,                   3.542045752, 78125,                1280,                 50                   
16,                   3.650117127, 80000,                1250,                 50                   
16,                   3.603332638, 80000,                1250,                 50                   
16,                   3.690954603, 100000,               1000,                 50                   
16,                   3.566323012, 100000,               1000,                 50                   
16,                   3.846358409, 125000,               800,                  50                   
16,                   3.589577369, 125000,               800,                  50                   
16,                   3.880070777, 156250,               640,                  50                   
16,                   3.743694289, 156250,               640,                  50                   
16,                   3.806168449, 160000,               625,                  50                   
16,                   3.757361403, 160000,               625,                  50                   
16,                   3.844727224, 200000,               500,                  50                   
16,                   3.915263159, 200000,               500,                  50                   
16,                   4.071643331, 250000,               400,                  50                   
16,                   3.889037916, 250000,               400,                  50                   
16,                   3.909982654, 312500,               320,                  50                   
16,                   3.955643606, 312500,               320,                  50                   
16,                   4.107628907, 390625,               256,                  50                   
16,                   3.847529301, 390625,               256,                  50                   
16,                   3.906607216, 400000,               250,                  50                   
16,                   4.020510008, 400000,               250,                  50                   
16,                   4.139131584, 500000,               200,                  50                   
16,                   3.975101706, 500000,               200,                  50                   
16,                   4.126658249, 625000,               160,                  50                   
16,                   3.909020073, 625000,               160,                  50                   
16,                   4.119627113, 781250,               128,                  50                   
16,                   4.06250515, 781250,               128,                  50                   
16,                   3.805626301, 800000,               125,                  50                   
16,                   4.029420278, 800000,               125,                  50                   
16,                   3.982411612, 1000000,              100,                  50                   
16,                   3.924334047, 1000000,              100,                  50                   
16,                   4.405103381, 1250000,              80,                   50                   
16,                   3.984375659, 1250000,              80,                   50                   
16,                   4.359492884, 1562500,              64,                   50                   
16,                   4.26190889, 1562500,              64,                   50                   
16,                   3.792461874, 2000000,              50,                   50                   
16,                   3.901413405, 2000000,              50,                   50                   
16,                   3.975112855, 2500000,              40,                   50                   
16,                   3.840781085, 2500000,              40,                   50                   
16,                   4.078417238, 3125000,              32,                   50                   
16,                   3.832115158, 3125000,              32,                   50                   
16,                   4.221308321, 6250000,              16,                   50                   
16,                   4.208729341, 6250000,              16,                   50                   
16,                   4.717478023, 12500000,             8,                    50                   
16,                   4.353909571, 12500000,             8,                    50                   
16,                   5.580395258, 25000000,             4,                    50                   
16,                   5.388130527, 25000000,             4,                    50                   
16,                   6.883639439, 50000000,             2,                    50                   
16,                   6.645894065, 50000000,             2,                    50                   
16,                   9.917686207, 100000000,            1,                    50                   
16,                   9.682722173, 100000000,            1,                    50                   
