OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
16,                   155.807754777, 160,                  625000,               50                   
16,                   161.588796605, 160,                  625000,               50                   
16,                   79.244850458, 320,                  312500,               50                   
16,                   79.535844442, 320,                  312500,               50                   
16,                   41.30578728, 640,                  156250,               50                   
16,                   41.748842209, 640,                  156250,               50                   
16,                   26.221168428, 1000,                 100000,               50                   
16,                   26.881796306, 1000,                 100000,               50                   
16,                   21.556717854, 1250,                 80000,                50                   
16,                   21.951281878, 1250,                 80000,                50                   
16,                   21.099683414, 1280,                 78125,                50                   
16,                   21.350123034, 1280,                 78125,                50                   
16,                   16.791554724, 1600,                 62500,                50                   
16,                   17.386288747, 1600,                 62500,                50                   
16,                   14.181925271, 2000,                 50000,                50                   
16,                   13.930202022, 2000,                 50000,                50                   
16,                   11.238131875, 2500,                 40000,                50                   
16,                   11.290204444, 2500,                 40000,                50                   
16,                   9.828057733, 3125,                 32000,                50                   
16,                   9.19073207, 3125,                 32000,                50                   
16,                   9.078544238, 3200,                 31250,                50                   
16,                   9.423676263, 3200,                 31250,                50                   
16,                   7.979566472, 4000,                 25000,                50                   
16,                   7.769849818, 4000,                 25000,                50                   
16,                   6.764066907, 5000,                 20000,                50                   
16,                   6.680891815, 5000,                 20000,                50                   
16,                   5.968972984, 6250,                 16000,                50                   
16,                   5.699190441, 6250,                 16000,                50                   
16,                   5.69263809, 6400,                 15625,                50                   
16,                   5.78795863, 6400,                 15625,                50                   
16,                   5.489372173, 8000,                 12500,                50                   
16,                   5.298654988, 8000,                 12500,                50                   
16,                   5.000841214, 10000,                10000,                50                   
16,                   4.701908503, 10000,                10000,                50                   
16,                   4.631755149, 12500,                8000,                 50                   
16,                   4.510620397, 12500,                8000,                 50                   
16,                   4.458563337, 15625,                6400,                 50                   
16,                   4.432240297, 15625,                6400,                 50                   
16,                   4.506793833, 16000,                6250,                 50                   
16,                   4.650746002, 16000,                6250,                 50                   
16,                   4.528955127, 20000,                5000,                 50                   
16,                   4.109966386, 20000,                5000,                 50                   
16,                   3.769645816, 25000,                4000,                 50                   
16,                   4.177199815, 25000,                4000,                 50                   
16,                   3.440009329, 31250,                3200,                 50                   
16,                   3.570172375, 31250,                3200,                 50                   
16,                   3.519008116, 32000,                3125,                 50                   
16,                   3.547936692, 32000,                3125,                 50                   
16,                   3.518010012, 40000,                2500,                 50                   
16,                   3.276204346, 40000,                2500,                 50                   
16,                   3.375745118, 50000,                2000,                 50                   
16,                   3.357422599, 50000,                2000,                 50                   
16,                   3.348979046, 62500,                1600,                 50                   
16,                   3.363705683, 62500,                1600,                 50                   
16,                   3.395971706, 78125,                1280,                 50                   
16,                   3.709289698, 78125,                1280,                 50                   
16,                   3.479771437, 80000,                1250,                 50                   
16,                   3.555745881, 80000,                1250,                 50                   
16,                   3.475689777, 100000,               1000,                 50                   
16,                   3.610613692, 100000,               1000,                 50                   
16,                   3.688551539, 125000,               800,                  50                   
16,                   3.900043205, 125000,               800,                  50                   
16,                   3.744440766, 156250,               640,                  50                   
16,                   3.770013463, 156250,               640,                  50                   
16,                   3.750318362, 160000,               625,                  50                   
16,                   3.759864245, 160000,               625,                  50                   
16,                   3.871125195, 200000,               500,                  50                   
16,                   3.906487607, 200000,               500,                  50                   
16,                   3.88972429, 250000,               400,                  50                   
16,                   4.200305034, 250000,               400,                  50                   
16,                   3.968343361, 312500,               320,                  50                   
16,                   3.953637125, 312500,               320,                  50                   
16,                   4.227851303, 390625,               256,                  50                   
16,                   4.004387042, 390625,               256,                  50                   
16,                   4.315740088, 400000,               250,                  50                   
16,                   3.944820639, 400000,               250,                  50                   
16,                   3.936102805, 500000,               200,                  50                   
16,                   4.196413805, 500000,               200,                  50                   
16,                   3.997806751, 625000,               160,                  50                   
16,                   3.969433772, 625000,               160,                  50                   
16,                   3.903745638, 781250,               128,                  50                   
16,                   3.950371463, 781250,               128,                  50                   
16,                   4.054675196, 800000,               125,                  50                   
16,                   4.047460788, 800000,               125,                  50                   
16,                   4.092845116, 1000000,              100,                  50                   
16,                   4.079865933, 1000000,              100,                  50                   
16,                   3.983419006, 1250000,              80,                   50                   
16,                   4.076063124, 1250000,              80,                   50                   
16,                   4.087358373, 1562500,              64,                   50                   
16,                   4.152928997, 1562500,              64,                   50                   
16,                   4.06678666, 2000000,              50,                   50                   
16,                   4.04661146, 2000000,              50,                   50                   
16,                   4.010065234, 2500000,              40,                   50                   
16,                   4.028329064, 2500000,              40,                   50                   
16,                   4.065782816, 3125000,              32,                   50                   
16,                   4.03057665, 3125000,              32,                   50                   
16,                   4.198221559, 6250000,              16,                   50                   
16,                   4.225896909, 6250000,              16,                   50                   
16,                   4.634028228, 12500000,             8,                    50                   
16,                   4.682642584, 12500000,             8,                    50                   
16,                   5.1148477, 25000000,             4,                    50                   
16,                   5.436814094, 25000000,             4,                    50                   
16,                   6.970372916, 50000000,             2,                    50                   
16,                   6.209112082, 50000000,             2,                    50                   
16,                   11.223952863, 100000000,            1,                    50                   
16,                   10.104324414, 100000000,            1,                    50                   
