OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
8,                    66.940169286, 160,                  625000,               50                   
8,                    66.957109197, 160,                  625000,               50                   
8,                    67.57769957, 160,                  625000,               50                   
8,                    67.488955668, 160,                  625000,               50                   
8,                    67.641358929, 160,                  625000,               50                   
8,                    34.535249074, 320,                  312500,               50                   
8,                    34.033581848, 320,                  312500,               50                   
8,                    34.171543467, 320,                  312500,               50                   
8,                    33.915672992, 320,                  312500,               50                   
8,                    33.873589641, 320,                  312500,               50                   
8,                    17.923158246, 640,                  156250,               50                   
8,                    18.270017949, 640,                  156250,               50                   
8,                    18.16675348, 640,                  156250,               50                   
8,                    18.083583539, 640,                  156250,               50                   
8,                    18.088575901, 640,                  156250,               50                   
8,                    12.005693141, 1000,                 100000,               50                   
8,                    11.999170457, 1000,                 100000,               50                   
8,                    12.237981894, 1000,                 100000,               50                   
8,                    12.275468443, 1000,                 100000,               50                   
8,                    12.203203485, 1000,                 100000,               50                   
8,                    10.250571498, 1250,                 80000,                50                   
8,                    10.1667663, 1250,                 80000,                50                   
8,                    10.174106953, 1250,                 80000,                50                   
8,                    10.128757331, 1250,                 80000,                50                   
8,                    10.098754693, 1250,                 80000,                50                   
8,                    9.995805434, 1280,                 78125,                50                   
8,                    9.887397221, 1280,                 78125,                50                   
8,                    9.881312635, 1280,                 78125,                50                   
8,                    9.887980882, 1280,                 78125,                50                   
8,                    9.925795705, 1280,                 78125,                50                   
8,                    8.445545555, 1600,                 62500,                50                   
8,                    8.084577569, 1600,                 62500,                50                   
8,                    7.859876189, 1600,                 62500,                50                   
8,                    8.147513842, 1600,                 62500,                50                   
8,                    8.387010621, 1600,                 62500,                50                   
8,                    7.046690335, 2000,                 50000,                50                   
8,                    7.018014615, 2000,                 50000,                50                   
8,                    7.038835463, 2000,                 50000,                50                   
8,                    7.0556994, 2000,                 50000,                50                   
8,                    7.294725977, 2000,                 50000,                50                   
8,                    6.744447912, 2500,                 40000,                50                   
8,                    6.359368734, 2500,                 40000,                50                   
8,                    6.578437974, 2500,                 40000,                50                   
8,                    6.487471123, 2500,                 40000,                50                   
8,                    6.344802837, 2500,                 40000,                50                   
8,                    6.061497711, 3125,                 32000,                50                   
8,                    6.05154953, 3125,                 32000,                50                   
8,                    6.080494151, 3125,                 32000,                50                   
8,                    6.070584098, 3125,                 32000,                50                   
8,                    6.062308192, 3125,                 32000,                50                   
8,                    6.203291918, 3200,                 31250,                50                   
8,                    6.01064497, 3200,                 31250,                50                   
8,                    6.226566894, 3200,                 31250,                50                   
8,                    6.112268566, 3200,                 31250,                50                   
8,                    6.209677541, 3200,                 31250,                50                   
8,                    6.003586055, 4000,                 25000,                50                   
8,                    5.987311944, 4000,                 25000,                50                   
8,                    5.989633918, 4000,                 25000,                50                   
8,                    5.943285281, 4000,                 25000,                50                   
8,                    6.118931037, 4000,                 25000,                50                   
8,                    5.975783888, 5000,                 20000,                50                   
8,                    5.94862109, 5000,                 20000,                50                   
8,                    5.940985704, 5000,                 20000,                50                   
8,                    6.021105663, 5000,                 20000,                50                   
8,                    6.012667752, 5000,                 20000,                50                   
8,                    5.745919487, 6250,                 16000,                50                   
8,                    5.623138147, 6250,                 16000,                50                   
8,                    5.819572662, 6250,                 16000,                50                   
8,                    5.905314455, 6250,                 16000,                50                   
8,                    5.712585133, 6250,                 16000,                50                   
8,                    5.824474015, 6400,                 15625,                50                   
8,                    6.003286041, 6400,                 15625,                50                   
8,                    5.621849396, 6400,                 15625,                50                   
8,                    5.952614406, 6400,                 15625,                50                   
8,                    5.630271947, 6400,                 15625,                50                   
8,                    5.715826136, 8000,                 12500,                50                   
8,                    5.588079816, 8000,                 12500,                50                   
8,                    5.697855696, 8000,                 12500,                50                   
8,                    5.632763373, 8000,                 12500,                50                   
8,                    5.8874809, 8000,                 12500,                50                   
8,                    5.420556233, 10000,                10000,                50                   
8,                    5.591994469, 10000,                10000,                50                   
8,                    5.477435014, 10000,                10000,                50                   
8,                    5.563428827, 10000,                10000,                50                   
8,                    5.403618623, 10000,                10000,                50                   
8,                    4.380518002, 12500,                8000,                 50                   
8,                    4.618818052, 12500,                8000,                 50                   
8,                    4.49838696, 12500,                8000,                 50                   
8,                    5.420758806, 12500,                8000,                 50                   
8,                    5.429395241, 12500,                8000,                 50                   
8,                    4.183339234, 15625,                6400,                 50                   
8,                    4.494183779, 15625,                6400,                 50                   
8,                    4.744171844, 15625,                6400,                 50                   
8,                    4.508153047, 15625,                6400,                 50                   
8,                    4.219536021, 15625,                6400,                 50                   
8,                    4.369497038, 16000,                6250,                 50                   
8,                    4.201500016, 16000,                6250,                 50                   
8,                    3.971841707, 16000,                6250,                 50                   
8,                    4.338590293, 16000,                6250,                 50                   
8,                    4.335641368, 16000,                6250,                 50                   
8,                    4.041003309, 20000,                5000,                 50                   
8,                    3.471576051, 20000,                5000,                 50                   
8,                    3.926567817, 20000,                5000,                 50                   
8,                    4.081977839, 20000,                5000,                 50                   
8,                    4.074688905, 20000,                5000,                 50                   
8,                    4.489459204, 25000,                4000,                 50                   
8,                    3.772679616, 25000,                4000,                 50                   
8,                    3.626269824, 25000,                4000,                 50                   
8,                    3.812341623, 25000,                4000,                 50                   
8,                    3.811886546, 25000,                4000,                 50                   
8,                    3.693917523, 31250,                3200,                 50                   
8,                    3.798038483, 31250,                3200,                 50                   
8,                    3.625918912, 31250,                3200,                 50                   
8,                    3.80735897, 31250,                3200,                 50                   
8,                    3.807335999, 31250,                3200,                 50                   
8,                    3.489628184, 32000,                3125,                 50                   
8,                    3.560265956, 32000,                3125,                 50                   
8,                    3.712942895, 32000,                3125,                 50                   
8,                    3.988873914, 32000,                3125,                 50                   
8,                    3.774601913, 32000,                3125,                 50                   
8,                    3.987332376, 40000,                2500,                 50                   
8,                    3.652874412, 40000,                2500,                 50                   
8,                    3.82477545, 40000,                2500,                 50                   
8,                    3.404110971, 40000,                2500,                 50                   
8,                    3.779562956, 40000,                2500,                 50                   
8,                    3.576196464, 50000,                2000,                 50                   
8,                    3.755409327, 50000,                2000,                 50                   
8,                    3.987234176, 50000,                2000,                 50                   
8,                    3.891452946, 50000,                2000,                 50                   
8,                    3.476618832, 50000,                2000,                 50                   
8,                    4.127659237, 62500,                1600,                 50                   
8,                    3.923315706, 62500,                1600,                 50                   
8,                    3.88699322, 62500,                1600,                 50                   
8,                    4.285089561, 62500,                1600,                 50                   
8,                    3.913215389, 62500,                1600,                 50                   
8,                    4.139831337, 78125,                1280,                 50                   
8,                    4.037704, 78125,                1280,                 50                   
8,                    4.177509826, 78125,                1280,                 50                   
8,                    4.266698812, 78125,                1280,                 50                   
8,                    4.32603677, 78125,                1280,                 50                   
8,                    4.16486973, 80000,                1250,                 50                   
8,                    3.941343484, 80000,                1250,                 50                   
8,                    4.28107944, 80000,                1250,                 50                   
8,                    4.172991728, 80000,                1250,                 50                   
8,                    4.212484852, 80000,                1250,                 50                   
8,                    4.288875398, 100000,               1000,                 50                   
8,                    4.302377776, 100000,               1000,                 50                   
8,                    4.412696075, 100000,               1000,                 50                   
8,                    4.409885549, 100000,               1000,                 50                   
8,                    4.731903932, 100000,               1000,                 50                   
8,                    4.731419679, 125000,               800,                  50                   
8,                    4.714778461, 125000,               800,                  50                   
8,                    4.606034318, 125000,               800,                  50                   
8,                    4.56800285, 125000,               800,                  50                   
8,                    4.560406666, 125000,               800,                  50                   
